"age","avg_spent"
18,534.047619047619
19,708.0952380952381
20,411.6666666666667
21,629.25
22,507.4074074074074
23,342.5
24,361
25,495
26,635.4545454545455
27,408.04347826086956
28,412.85714285714283
29,410.625
30,445
31,464.54545454545456
32,292.10526315789474
33,624
34,599.4642857142857
35,513.1818181818181
36,607
37,728.125
38,584.2105263157895
39,255.27777777777777
40,392.2916666666667
41,269.04761904761904
42,326.9230769230769
43,579.6774193548387
44,504
45,372.05882352941177
46,523.6
47,480.96153846153845
48,402.22222222222223
49,268.94736842105266
50,428.04347826086956
51,535.5
52,320
53,559.4117647058823
54,375.17857142857144
55,465.7142857142857
56,496.8421052631579
57,309.6666666666667
58,528.2142857142857
59,557.0588235294117
60,526.8181818181819
61,373.8888888888889
62,300.74074074074076
63,544.1176470588235
64,294.35483870967744
